,Factor,ML_XGB,MPT,RiskParity
2018-10-31,0.9359238938940901,0.9186185397885045,0.9237776950335914,0.9477066407032232
2018-11-30,0.9151326739569771,0.8751816505869344,0.948300295277494,0.912615481373226
2018-12-31,0.8669720762287598,0.8123540852271988,0.9189450129403179,0.8778033499257845
2019-01-31,0.9109642453825417,0.8360979922592543,0.9329970405753106,0.9188913633015087
2019-02-28,0.929668343094196,0.8528777080063162,0.9341600367662374,0.946181115348206
2019-03-31,0.9481206392026853,0.873924901554998,0.9345655852117409,0.9613972516483342
2019-04-30,0.9674415110577707,0.8877177495415526,0.9273732090892667,0.9929438797596521
2019-05-31,0.9418339494570355,0.8519734338681932,0.9377965552991258,0.9963635373909897
2019-06-30,1.0042744308055784,0.959875055661786,1.0442991275063962,1.060235231303277
2019-07-31,0.995501217224843,0.9185384210713708,1.0072743225130358,1.0438802679591537
2019-08-31,1.0072446085943962,0.9430811369793436,1.0339087352672156,1.0311194669581984
2019-09-30,0.9936962861710009,0.8890046358359691,0.9895721007388206,1.0321748556631223
2019-10-31,1.016417615684552,0.9191885495012896,1.0000604076774482,1.0520154256106187
2019-11-30,1.010554671051681,0.877779153397624,0.9826314579134999,1.0483516491675628
2019-12-31,1.0118479119218613,0.8408341048349105,1.001976206674134,1.0647440547787996
2020-01-31,1.02504210755635,0.9032871407373496,1.0148244752144513,1.0751430671851616
2020-02-29,0.9859058177799335,0.8938945252945848,0.9779591394241154,1.0195108639344084
2020-03-31,0.8709662059376335,0.7350514350578852,0.9383308576301652,0.8686081183178472
2020-04-30,0.9423798576743043,0.7985810157964518,0.9629235147941955,0.929323782651003
2020-05-31,0.9687021085306751,0.8112525072952951,0.9681647070252142,0.9682981442145883
2020-06-30,0.9856131707488214,0.83743522065116,0.9881602037570373,0.9870774388355249
2020-07-31,1.0624783829306008,0.9111658771137449,1.04336764004044,1.0656957205847244
2020-08-31,1.1336689079737465,1.0454597777669656,1.0649659431023177,1.1144767845635462
2020-09-30,1.088759068814843,0.9661612814293646,1.0127210396646373,1.071494165356018
2020-10-31,1.094014412311027,0.9812692071771827,0.9981574941527487,1.0664369333408432
2020-11-30,1.2148643789883347,1.213707881672208,1.0075402820764974,1.180238519052287
2020-12-31,1.335313465712868,1.525716875824071,1.0620101576011034,1.2544547711897622
2021-01-31,1.4112682732623976,1.8443298187592176,1.0966611792854022,1.294621117942915
2021-02-28,1.4518122520070906,1.9884470366057267,1.1460471327869823,1.336607730172472
2021-03-31,1.5299916883403273,2.257789847749413,1.1987647872743485,1.377073650953183
2021-04-30,1.6340515417671142,2.556508835965591,1.2561332574036588,1.4445661810527741
2021-05-31,1.6103653482801312,2.3876731929402517,1.2216226061981392,1.4409791121495963
2021-06-30,1.6189740209382804,2.368850808036933,1.2323634101911118,1.4521867010813427
2021-07-31,1.659639763519601,2.5225739744053164,1.2635524156034366,1.48135808673404
2021-08-31,1.7260932961899225,2.798275402810756,1.279932443083503,1.5133840206761144
2021-09-30,1.6877057581911954,2.737555276952179,1.2212516077360451,1.475139438086052
2021-10-31,1.868816581145683,3.4420028598984094,1.290533468890112,1.5794946462155497
2021-11-30,1.8117924839137451,3.283131604551431,1.2472678952079188,1.5464381668870888
2021-12-31,1.7999282301512383,3.0472354440934217,1.2353178540969707,1.5538777645474697
2022-01-31,1.7183512219125683,2.8543276814137415,1.1745756329266546,1.492513160969578
2022-02-28,1.7542579678203811,3.032490070575712,1.2080589677617684,1.520518461874507
2022-03-31,1.8392452919082092,3.359308139066289,1.2852559132146575,1.568353863890579
2022-04-30,1.7264197762785292,3.2300937520420985,1.2676359598335054,1.4602359058804928
2022-05-31,1.7448337807804613,3.4106510239318335,1.3027833839266534,1.436790871600466
2022-06-30,1.5931334268139135,3.0993760022531727,1.1983491760691927,1.2888908312453597
2022-07-31,1.6442057339035987,3.102379539958531,1.1801827744123239,1.3697889232148164
2022-08-31,1.5866155771474557,3.0346288655570035,1.1554260749502272,1.3080450738827127
2022-09-30,1.4607229683373826,2.761457083667622,1.0958270126176743,1.2064194718840706
2022-10-31,1.5324451667002952,3.016549721040581,1.1134079874458842,1.2575124851794879
2022-11-30,1.587115351107532,3.056683323382398,1.1406718271414156,1.296321307533363
2022-12-31,1.5853319254699318,3.068472993491697,1.1330999084857496,1.2844516440104699
2023-01-31,1.6406270178632028,3.095001307288261,1.1414951481230011,1.3748153038696647
2023-02-28,1.5958878475407532,2.983535630452138,1.1089091004883267,1.3452170613318193
2023-03-31,1.6221473602502499,2.9858202913167924,1.1478742503133594,1.3923728317754183
2023-04-30,1.6536150960853995,3.0487646096470993,1.166488078902246,1.4221964702779115
2023-05-31,1.6205575072474725,2.9853269609629582,1.1509742271377457,1.3864996953011341
2023-06-30,1.6810463858741624,3.117324792567678,1.168755685115834,1.4328668300746161
2023-07-31,1.738734919584475,3.176041781600642,1.18849073181404,1.4843785048406153
2023-08-31,1.696246840957999,3.0600010229157717,1.1871974575304833,1.4529553934429618
2023-09-30,1.6358079674306412,2.916617531465798,1.1541816480231073,1.4061057521067295
2023-10-31,1.6417786125369456,3.0652703095028015,1.1305423452504617,1.3953509758816574
2023-11-30,1.7539340904521354,3.3694006187920023,1.1605797232160424,1.4846577310181677
2023-12-31,1.8253969520556406,3.6212696976155554,1.1999475463975136,1.542446348447556
2024-01-31,1.817158330674226,3.6313563249498007,1.2080208137673059,1.536560817223249
2024-02-29,1.9377115779525769,4.330454061123634,1.284177307778725,1.595714406340086
2024-03-31,2.0195806688560607,4.547795342765089,1.3542288231746356,1.6575333374037338
2024-04-30,1.9218710308919715,4.147030125217291,1.278724908345892,1.6009914312273368
2024-05-31,1.973544039507926,4.3887263911848935,1.310123175629206,1.6350892403812227
2024-06-30,1.9663583496032644,4.1858419540798915,1.2934166486468825,1.6435831283507394
2024-07-31,1.9984552178909418,4.219509187205818,1.2772034628682185,1.678025056079802
2024-08-31,1.9967116322627747,3.9651522366801033,1.2924981716782502,1.6926204092820603
2024-09-30,2.050264864101072,4.107948201984558,1.317648072854769,1.7251430514774124
2024-10-31,2.0300766759518094,4.145202598294994,1.3061973796201243,1.704470354860985
2024-11-30,2.140486745211226,4.492781026361788,1.3343911828145845,1.7688452518909157
2024-12-31,2.0586295282032006,4.295855029842696,1.2857258437843835,1.7108453070194511
2025-01-31,2.125417447544076,4.488350105090156,1.349407261966034,1.7592029658802333
2025-02-28,2.037617885017669,4.181387749071187,1.3053328842270127,1.721779507767511
2025-03-31,2.0228989266739625,4.235024245795427,1.3150647364324308,1.6989998750188346
2025-04-30,2.035089778003776,4.319876416664109,1.3485424229469254,1.6812569510434234
2025-05-31,2.095707850522576,4.5025392162504785,1.3547207068321978,1.739550835771263
2025-06-30,2.1569887646518198,4.607510076236743,1.3689741632235517,1.793838735265641
2025-07-31,2.1921127567936174,4.73219444825917,1.3648946691338202,1.8464837344359983
2025-08-31,2.2325119620411584,4.927172136505536,1.390425571266301,1.863374883046711
